,Product Name,Prices
205,"vivo Y20T (Obsidian Black, 64 GB)","₹15,490"
206,"vivo V20 (Sunset Melody, 128 GB)","₹23,990"
207,"vivo X50 (Glaze Black, 256 GB)","₹44,990"
208,"vivo X50 (Glaze Black, 128 GB)","₹39,990"
209,"vivo Y12s (Phantom Black, 32 GB)","₹11,090"
210,"vivo Y12s (Glacier Blue, 32 GB)","₹11,090"
211,"vivo Y20T (Purist Blue, 64 GB)","₹15,490"
212,"vivo X60 (Midnight Black, 256 GB)","₹46,990"
213,"vivo T1 5G (Silky White, 128 GB)","₹16,990"
214,"vivo Y20G (Obsidiant Black, 128 GB)","₹15,890"
215,"vivo X60 Pro (Midnight Black, 256 GB)","₹54,990"
216,"vivo X60 (Shimmer Blue, 128 GB)","₹34,990"
217,"vivo Y51 (Titanium Sapphire, 128 GB)","₹21,990"
218,"vivo X60 (Shimmer Blue, 256 GB)","₹46,990"
219,"vivo Z1x (Fusion Blue, 128 GB)","₹24,990"
220,"vivo Y75 5G (Starlight Black, 128 GB)","₹21,990"
221,"vivo S1 Pro (Dreamy White, 128 GB)","₹20,990"
222,"vivo Y11 (Mineral Blue, 32 GB)","₹9,990"
223,"vivo Y11 (Agate Red, 32 GB)","₹9,990"
224,"vivo X60 Pro (Shimmer Blue, 256 GB)","₹54,990"
225,"vivo S1 Pro (Jazzy Blue, 128 GB)","₹20,990"
226,"vivo Y75 5G (Glowing Galaxy, 128 GB)","₹21,990"
227,"vivo S1 Pro (Mystic Black, 128 GB)","₹20,990"
228,"vivo Z1Pro (Sonic Black, 128 GB)","₹20,990"
229,"vivo Z1Pro (Sonic Blue, 128 GB)","₹20,990"
230,"vivo Y83 Pro (Gold, 64 GB)","₹16,990"
231,"vivo Y83 Pro (Nebula Purple, 64 GB)","₹16,990"
232,"vivo Z1Pro (Sonic Blue, 64 GB)","₹17,990"
233,"vivo X70 Pro (Aurora Dawn, 256 GB)","₹49,990"
234,"vivo X70 Pro+ (Enigma Black, 256 GB)","₹79,990"
235,"vivo V20 (Midnight Jazz, 256 GB)","₹30,990"
236,"vivo Y20T (Obsidian Black, 64 GB)","₹15,400"
237,"vivo S1 (Diamond Black, 128 GB)","₹19,990"
238,"vivo V20 (Sunset Melody, 256 GB)","₹28,950"
239,"vivo V20 Pro (Midnight Jazz, 128 GB)","₹34,990"
240,"vivo X70 Pro (Aurora Dawn, 256 GB)","₹52,990"
241,"vivo Z1Pro (Sonic Blue, 64 GB)","₹15,990"
242,"vivo X70 Pro (Aurora Dawn, 128 GB)","₹46,990"
243,"vivo Y51A (Crystal Symphony, 128 GB)","₹21,990"
244,"vivo X70 Pro (Cosmic Black, 256 GB)","₹52,990"
245,"vivo X70 Pro (Cosmic Black, 256 GB)","₹49,990"
246,"vivo X70 Pro (Cosmic Black, 128 GB)","₹46,990"
247,"vivo X80 Pro (Cosmic Black, 256 GB)","₹79,999"
248,"vivo Y51A (Titanium Sapphire, 128 GB)","₹20,990"
249,"vivo Y56 A 5G (Black, 128 GB)","₹19,999"
250,"vivo Y20 (Dawn White, 64 GB)","₹16,990"
251,"vivo Y51A (Titanium Sapphire, 128 GB)","₹21,990"
252,"vivo Y12 (Aqua Blue, 64 GB)","₹13,990"
253,"vivo Y51A (Crystal Symphony, 128 GB)","₹20,990"
254,"vivo Y20 (Obsidian Black, 64 GB)","₹13,490"
255,"vivo Y100 A 5G (Pacific Blue, 256 GB)","₹26,999"
256,"vivo V20 SE (Aquamarine Green, 128 GB)","₹24,990"
257,"vivo V20 Pro (Sunset Melody, 128 GB)","₹34,990"
258,"vivo Y72 5G (Prism Magic, 128 GB)","₹20,380"
259,"vivo Y72 5G (Slate Gray, 128 GB)","₹20,380"
260,"vivo T2x 5G (Aurora Gold, 128 GB)","₹15,999"
261,"vivo T2x 5G (Marine Blue, 128 GB)","₹15,999"
262,"vivo T2x 5G (Glimmer Black, 128 GB)","₹15,999"
263,"vivo T2x 5G (Marine Blue, 128 GB)","₹13,999"
264,"vivo T2x 5G (Aurora Gold, 128 GB)","₹13,999"
265,"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999"
266,"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999"
267,"vivo Y20 (Obsidian Black, 64 GB)","₹17,990"
268,"vivo Y20 (Purist Blue, 64 GB)","₹16,990"
269,"vivo T2x 5G (Glimmer Black, 128 GB)","₹13,999"
270,"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999"
271,"vivo T2 5G (Nitro Blaze, 128 GB)","₹20,999"
272,"vivo T2 5G (Velocity Wave, 128 GB)","₹20,999"
273,"vivo T2 5G (Nitro Blaze, 128 GB)","₹18,999"
274,"vivo T2 5G (Velocity Wave, 128 GB)","₹18,999"
275,"vivo Y21 (Midnight Blue, 64 GB)","₹13,290"
